0,0,0,0.48148148148148145,0.38461538461538464,0.4074074074074074,0.4074074074074074,0.25925925925925924,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.15384615384615385,0.11538461538461539,0.12,0.16666666666666666,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.48148148148148145,0.5555555555555556,0.8518518518518519,1.1111111111111112,1.4074074074074074,1.4444444444444444,1.4814814814814814,1.7407407407407407,1.7307692307692308,1.5555555555555556,1.2592592592592593,1.1481481481481481,1.1111111111111112,1.037037037037037,1.0,0.8518518518518519,0.7407407407407407,0.6923076923076923,0.6086956521739131,0.4583333333333333,0.48,0.46153846153846156,0.52,0.6296296296296297,0.5925925925925926,0.6666666666666666,0.8,0.8888888888888888,0.8076923076923077,0.9230769230769231,0.8888888888888888,0.8076923076923077,0.84,0.9259259259259259,0.8846153846153846,0.92,1.125,1.0,1.0,0.92,1.1153846153846154,1.0833333333333333,1.08,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.7307692307692307,0.6,0.6153846153846154,0.5384615384615384,0.46153846153846156,0.32,0.3076923076923077,0.28,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.4,0.4,0.4166666666666667,0.5384615384615384,0.8076923076923077,0.9230769230769231,0.8846153846153846,0.9230769230769231,0.84,0.8076923076923077,0.8076923076923077,1,0.14814814814814814,0.15384615384615385,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07692307692307693,0.07692307692307693,0.04,0.041666666666666664,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.07692307692307693,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.08,0.07692307692307693,0.04,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.16,0.14814814814814814,0.11538461538461539,0.07692307692307693,0.1111111111111111,0.11538461538461539,0.12,0.1111111111111111,0.11538461538461539,0.08,0.08333333333333333,0.08,0.15384615384615385,0.08,0.15384615384615385,0.08333333333333333,0.08,0.19230769230769232,0.23076923076923078,0.19230769230769232,0.15384615384615385,0.16,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.12,0.07692307692307693,0.04,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.12,0.12,0.125,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.12,0.07692307692307693,0.07692307692307693
0,1,0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.08,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,0.8888888888888888,0.7307692307692307,0.7037037037037037,0.6666666666666666,0.5925925925925926,0.5185185185185185,0.4074074074074074,0.4444444444444444,0.4074074074074074,0.37037037037037035,0.34615384615384615,0.3076923076923077,0.28,0.3333333333333333,0.2962962962962963,0.2962962962962963,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.3333333333333333,0.37037037037037035,0.6296296296296297,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7407407407407407,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7307692307692307,0.7391304347826086,0.75,0.72,0.7307692307692307,0.72,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.72,0.7407407407407407,0.7307692307692307,0.7307692307692307,0.7407407407407407,0.7307692307692307,0.72,0.7407407407407407,0.7307692307692307,0.72,0.75,0.72,0.8461538461538461,0.88,0.8846153846153846,0.875,0.88,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.92,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.92,0.9230769230769231,0.92,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.96,0.96,0.9583333333333334,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9230769230769231,0.92,0.8461538461538461,0.8076923076923077,1,0.8888888888888888,0.6923076923076923,0.6296296296296297,0.5925925925925926,0.5555555555555556,0.48148148148148145,0.4074074074074074,0.37037037037037035,0.3333333333333333,0.2962962962962963,0.3076923076923077,0.23076923076923078,0.24,0.2916666666666667,0.25925925925925924,0.25925925925925924,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.5555555555555556,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.7391304347826086,0.75,0.76,0.7692307692307693,0.76,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.72,0.7407407407407407,0.7307692307692307,0.7307692307692307,0.7407407407407407,0.7307692307692307,0.72,0.7407407407407407,0.7307692307692307,0.72,0.7916666666666666,0.76,0.8076923076923077,0.92,0.8846153846153846,0.9166666666666666,0.92,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0,1.0,1.0,0.9615384615384616,0.9615384615384616,0.96,0.9615384615384616,0.96,1.0,1.0,1.0384615384615385,1.0384615384615385,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.1153846153846154,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.08,1.08,1.0833333333333333,1.0384615384615385,1.0,1.0,1.0,1.0,0.96,0.9230769230769231,0.9230769230769231
0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.038461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.14814814814814814,0.15384615384615385,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.04,0.038461538461538464,0.041666666666666664,0.04,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.34615384615384615,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.2692307692307692,0.2692307692307692,0.2,0.2,0.20833333333333334,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.12,0.11538461538461539,0.15384615384615385
0,4,0,0.5925925925925926,0.4230769230769231,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.37037037037037035,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.25925925925925924,0.23076923076923078,0.23076923076923078,0.2,0.20833333333333334,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.46153846153846156,0.4444444444444444,0.5925925925925926,0.5185185185185185,0.5185185185185185,0.48148148148148145,0.4444444444444444,0.37037037037037035,0.37037037037037035,0.34615384615384615,0.34782608695652173,0.5,0.56,0.5,0.48,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.52,0.5185185185185185,0.5769230769230769,0.5769230769230769,0.5925925925925926,0.5769230769230769,0.56,0.5925925925925926,0.6153846153846154,0.64,0.5833333333333334,0.56,0.5769230769230769,0.56,0.5384615384615384,0.5416666666666666,0.52,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.52,0.5769230769230769,0.5769230769230769,0.6153846153846154,0.6,0.6153846153846154,0.68,0.7692307692307693,0.7692307692307693,0.8076923076923077,0.8076923076923077,0.8846153846153846,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.8846153846153846,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.92,0.92,0.9166666666666666,0.8846153846153846,0.8461538461538461,0.7307692307692307,0.6923076923076923,0.6538461538461539,0.64,0.5769230769230769,0.5769230769230769,1,0.7037037037037037,0.6153846153846154,0.48148148148148145,0.48148148148148145,0.4074074074074074,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.15384615384615385,0.19230769230769232,0.16,0.125,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.07692307692307693,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.11538461538461539,0.08695652173913043,0.08333333333333333,0.08,0.038461538461538464,0.04,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.04,0.07407407407407407,0.07692307692307693,0.07692307692307693,0.07407407407407407,0.11538461538461539,0.12,0.1111111111111111,0.11538461538461539,0.12,0.08333333333333333,0.08,0.11538461538461539,0.16,0.2692307692307692,0.25,0.24,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.32,0.3076923076923077,0.34615384615384615,0.38461538461538464,0.4,0.4230769230769231,0.52,0.6538461538461539,0.6923076923076923,0.8076923076923077,0.8076923076923077,0.8461538461538461,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.9230769230769231,0.9615384615384616,0.96,1.0,1.0,0.9615384615384616,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.7307692307692307,0.72,0.6923076923076923,0.6153846153846154
0,5,0,0.3333333333333333,0.19230769230769232,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.04,0.08333333333333333,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.2962962962962963,0.48148148148148145,0.4230769230769231,0.4074074074074074,0.48148148148148145,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.37037037037037035,0.2962962962962963,0.2962962962962963,0.3076923076923077,0.30434782608695654,0.4166666666666667,0.4,0.34615384615384615,0.36,0.37037037037037035,0.3333333333333333,0.3333333333333333,0.32,0.3333333333333333,0.34615384615384615,0.34615384615384615,0.37037037037037035,0.34615384615384615,0.36,0.37037037037037035,0.38461538461538464,0.4,0.375,0.36,0.38461538461538464,0.36,0.38461538461538464,0.4166666666666667,0.4,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.44,0.5,0.5384615384615384,0.5769230769230769,0.56,0.6153846153846154,0.68,0.76,0.7692307692307693,0.8076923076923077,0.8076923076923077,0.8846153846153846,0.8846153846153846,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9615384615384616,0.96,0.96,0.9583333333333334,0.9230769230769231,0.8846153846153846,0.7692307692307693,0.7307692307692307,0.6538461538461539,0.64,0.5769230769230769,0.5384615384615384,1,0.5555555555555556,0.4230769230769231,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.2222222222222222,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.11538461538461539,0.11538461538461539,0.08,0.125,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.19230769230769232,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.19230769230769232,0.17391304347826086,0.20833333333333334,0.2,0.19230769230769232,0.2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2,0.2222222222222222,0.19230769230769232,0.19230769230769232,0.2222222222222222,0.2692307692307692,0.28,0.2962962962962963,0.3076923076923077,0.24,0.20833333333333334,0.2,0.23076923076923078,0.24,0.3076923076923077,0.2916666666666667,0.32,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.36,0.34615384615384615,0.38461538461538464,0.4230769230769231,0.4,0.46153846153846156,0.6,0.68,0.7307692307692307,0.8461538461538461,0.8461538461538461,0.8846153846153846,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9615384615384616,0.9230769230769231,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.7307692307692307,0.7692307692307693,0.7307692307692307,0.68,0.6153846153846154,0.5384615384615384
0,6,0,0.037037037037037035,0.038461538461538464,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.07692307692307693,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.038461538461538464,0.0,0.041666666666666664,0.04,0.038461538461538464,0.04,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.04,0.037037037037037035,0.038461538461538464,0.038461538461538464,0.037037037037037035,0.038461538461538464,0.04,0.037037037037037035,0.038461538461538464,0.04,0.041666666666666664,0.04,0.038461538461538464,0.04,0.038461538461538464,0.041666666666666664,0.04,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04,0.038461538461538464,0.04,0.04,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.08,0.07407407407407407,0.07692307692307693,0.0,0.0,0.0,0.0,0.08,0.07692307692307693,0.08333333333333333,0.08,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.08,0.0,0.0,0.0,0.0,0.0,0.12,0.2,0.19230769230769232,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.34615384615384615,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.32,0.32,0.2916666666666667,0.19230769230769232,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.08,0.07692307692307693,0.07692307692307693
0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.2962962962962963,0.5185185185185185,0.7692307692307693,0.9629629629629629,1.2592592592592593,1.2592592592592593,1.2592592592592593,1.1111111111111112,1.1111111111111112,1.1481481481481481,0.9629629629629629,0.9230769230769231,1.0869565217391304,1.125,1.16,1.0384615384615385,1.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.88,1.0,0.9615384615384616,0.9615384615384616,0.8518518518518519,0.8846153846153846,0.76,0.7777777777777778,0.8076923076923077,0.76,0.875,0.76,0.6538461538461539,0.44,0.2692307692307692,0.2916666666666667,0.28,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.15384615384615385,0.16,0.15384615384615385,0.11538461538461539,0.19230769230769232,0.2,0.19230769230769232,0.2,0.12,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.12,0.08,0.041666666666666664,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04,0.038461538461538464,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.6666666666666666,1.3333333333333333,1.6296296296296295,1.6923076923076923,1.7037037037037037,1.7037037037037037,1.7037037037037037,1.7037037037037037,1.4074074074074074,1.3333333333333333,1.4074074074074074,1.2592592592592593,1.1538461538461537,1.2173913043478262,1.1666666666666667,1.2,1.1538461538461537,1.12,1.1111111111111112,1.2592592592592593,1.3333333333333333,1.2,1.3333333333333333,1.3846153846153846,1.3846153846153846,1.2592592592592593,1.3076923076923077,1.28,1.3333333333333333,1.2307692307692308,1.2,1.25,1.2,1.1538461538461537,1.12,1.1538461538461537,1.1666666666666667,1.04,1.0,1.0,0.9615384615384616,0.8461538461538461,0.88,0.7692307692307693,0.8846153846153846,0.9230769230769231,0.96,0.9230769230769231,0.8,0.64,0.6923076923076923,0.5769230769230769,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.12,0.08,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.037037037037037035,0.038461538461538464,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.038461538461538464,0.038461538461538464,0.04,0.041666666666666664,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.038461538461538464,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.038461538461538464,0.043478260869565216,0.041666666666666664,0.04,0.038461538461538464,0.12,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.04,0.037037037037037035,0.038461538461538464,0.038461538461538464,0.037037037037037035,0.038461538461538464,0.04,0.037037037037037035,0.038461538461538464,0.04,0.041666666666666664,0.04,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,0,0.07407407407407407,0.038461538461538464,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.038461538461538464,0.038461538461538464,0.04,0.041666666666666664,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.1111111111111111,0.14814814814814814,0.8518518518518519,1.5925925925925926,1.7407407407407407,1.7307692307692308,1.7407407407407407,1.7407407407407407,1.7407407407407407,1.7407407407407407,1.5185185185185186,1.3703703703703705,1.4444444444444444,1.3703703703703705,1.1923076923076923,1.2608695652173914,1.2083333333333333,1.28,1.1923076923076923,1.24,1.2962962962962963,1.2962962962962963,1.4074074074074074,1.28,1.3333333333333333,1.3846153846153846,1.3846153846153846,1.2592592592592593,1.3076923076923077,1.28,1.3333333333333333,1.2307692307692308,1.2,1.4166666666666667,1.36,1.3461538461538463,1.32,1.3461538461538463,1.3333333333333333,1.44,1.4615384615384615,1.3846153846153846,1.3461538461538463,1.2307692307692308,1.2,1.0769230769230769,1.1923076923076923,1.0769230769230769,1.2,0.9230769230769231,0.8,0.64,0.6923076923076923,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.08,0.08,0.041666666666666664,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04,0.038461538461538464,0.038461538461538464,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07692307692307693,0.08695652173913043,0.08333333333333333,0.04,0.038461538461538464,0.12,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.0,0.037037037037037035,0.038461538461538464,0.038461538461538464,0.037037037037037035,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
